tournament_id,tournament_en
10002806,European Pro League Season 23
10002794,European Pro League Season 22
10002795,1win Series Dota 2 Punch
10002708,MESA Invitational 2024
10002706,Open киберспортивные Games 2024 Dota 2
10002626,ESL One Bangkok 2024
10002790,Школьная Лига 2024
10002789,Шоу-матч Yatoro vs Maybe
10002662,European Pro League Season 21
10002653,BLAST Slam I
10002745,Национальная Студенческая Лига Киберспорта Dota 2
10002663,CCT Series 5
10002656,BetBoom Streamers Battle 8
10002664,1win Series Dota 2 Fall
10002582,IESF World Esports Championship 2024
10002592,DreamLeague Season 24
10002479,BetBoom Dacha Dota 2 2024
10002646,RES Regional Champions: Belgrade
10002647,Open киберспортивные студенческие Games 2024. Мировой Final
10002642,European Pro League Season 20
10002640,CCT Series 4
10002591,PGL Wallachia 2024 Season 2
10002620,RES Regional Series: EU #4
10002480,The International 2024
10002619,CCT Series 3
10002603,FISSURE Universe: Episode 3
10002616,FONBET Кубок России 2024 по Dota 2
10002600,BetBoom Streamers Battle 7
10002605,CCT Series 2
10002550,Elite League Season 2
10002580,Clavision Snow Ruyi Invitational
10002559,Leon Masters #1
10002586,RES Regional Series: EU #3
10002507,Riyadh Masters 2024
10002579,CCT Series 1
10002581,1win Series Dota 2 Summer
10002575,Чемпионат России 2024 по Dota 2
10002551,FISSURE Universe: Episode 2
10002463,DreamLeague Season 23
10002545,RES Regional Series: EU #2
10002515,PGL Wallachia 2024: Season 1
10002539,European Pro League Season 18
10002537,BetBoom Streamers Battle 6
10002471,ESL One Birmingham 2024
10002534,European Pro League Season 17
10002516,Elite League
10002523,RES Regional Series: EU #1
10002529,The Portal Dota 2 World Invitationals
10002521,1win Series Dota 2 Spring
10002462,DreamLeague Season 22
10002486,Games Future 2024
10002477,BetBoom Dacha Dubai 2024
10002492,European Pro League Season 16
10002494,BetBoom Streamers Battle 5
10002485,Asia Pacific Predator League 2024
10002475,BetBoom Turbo Defense
10002467,European Pro League Season 15
10002469,Школьная лига 2023
10002386,ESL One Kuala Lumpur 2023
10002468,Global Esports Games 2023
10002452,Pinnacle: 25 Year Anniversary Show
10002460,Esports Shanghai Masters 2023
10002454,European Pro League Season 14
10002314,The International 2023
10002441,Всероссийские студенческие соревнования билайна 2023 по Dota 2
10002390,Pinnacle Cup: Malta Vibes #4
10002349,2022 Asian Games
10002387,BetBoom Streamers Battle 4
10002373,DreamLeague Season 21
10002381,Pinnacle Cup: Malta Vibes #3
10002368,BetBoom Dacha
10002351,IESF World Championship 2023 Dota 2
10002366,1XPLORE Asia #2
10002313,Riyadh Masters 2023
10002357,Фиджитал Games по Dota 2. Сезон 2
10002320,The Bali Major 2023
10002319,Dota Pro Circuit 2023: Season 3. North America. 2 Division
10002325,DreamLeague Season 20
10002338,BetBoom Streamers Battle 3
10002342,ВКСЛ 2023 Dota 2
10002330,Pinnacle Cup: Malta Vibes #2
10002326,Чемпионат России 2023 по Dota 2
10002294,ESL One Berlin Major 2023
10002302,Dota Pro Circuit 2023: Season 2. North America. 2 Division
10002305,DreamLeague Season 19
10002316,BetBoom Streamers Battle 2
10002311,Pinnacle Cup: Malta Vibes #1
10002278,The Lima Major 2023
10002265,Dota Pro Circuit 2023: Season 1. South America. 2 Division
10002297,BetBoom Streamers Battle
10002292,BTS Pro Series Season 14: America
10002290,BetBoom Universe: Episode I — Comics Zone
10002293,Фиджитал Games
10002288,European Pro League Season 6
10002266,BetBoom Xmas Show
10002268,European Pro League Season 5
10002259,Школьная лига 2022
10002256,Open киберспортивные Games 2022
10002258,Лига Ставок Dota 2 Champions League Season 17
10002250,BTS Pro Series Season 13: Sea
10002231,IESF World Esports Championship 2022
10002249,BTS Pro Series Season 13: America
10002253,November Untitled Tournament
10002241,Лига Ставок Dota 2 Champions League Season 16
10002186,The International 2022
10002238,Last-Last Chance
10002232,BTS Pro Series Season 12: America
10002230,Winline Dota 2 Champions League Season 15
10002219,Winline Insight Season 2
10002213,1x Series
10002183,ESL One Malaysia 2022
10002211,Winline Dota 2 Champions League Season 14
10002212,Thunderpick Bitcoin Series
10002217,GAMERS GALAXY: Invitational Series Thailand 2022
10001727,PGL Arlington Major 2022
10002200,Winline Dota 2 Champions League Season 13
10002201,Gamers8 Riyadh Masters
10002204,NAVI 2022 vs NAVI Old
10001657,Dota Pro Circuit 2021/2022: Season 3 — South America
10001645,Dota Pro Circuit 2021/2022: Season 3 — North America
10001651,Dota Pro Circuit 2021/2022: Season 3 — China
10001660,Dota Pro Circuit 2021/2022: Season 3 — East Europe
10001654,Dota Pro Circuit 2021/2022: Season 3 — Sea
10001647,Dota Pro Circuit 2021/2022: Season 3 — West Europe
10002184,Winline Dota 2 Champions League Season 12
10002187,Winline Insight
10002192,Khaz Modan Cup Season 2
10002179,Студенческая лига 2022 Dota 2
10001747,Winline Dota 2 Champions League Season 11
10001741,BTS Pro Series Season 11. Sea
10001745,Чемпионат России по Dota 2 2022
10001715,ESL One Stockholm Dota Major 2022
10001735,Winline Dota 2 Champions League Season 10
10001740,Gamers Without Borders 2022
10001737,Gamers Without Borders 2022. Open Qualifier
10001730,Winline Dota 2 Champions League Season 9
10001713,Winline Dota 2 Champions League Season 8
10001706,BTS Pro Series Season 10. America
10001721,GAMERS GALAXY: Invitational Series Dubai 2022
10001705,BTS Pro Series Season 10. Sea
10001714,SAPPHIRE OGA Dota PIT China Season 6
