tournament_id,tournament_en
144596,"The Shanghai Major 2016. Open Quali: SEA, NA, China"
129262,ESL One New York 2015. Qualifier
123452,G-League 2015
121635,The International 2015. Tournament Standings Qualifiers
117149,i-league Season 3
205296,The Kiev Major 2017. Cis. Open Qualifiers #2
105953,SLTV StarSeries XI US
43084,G-League 2013
91431,The International 2014
103775,G-League 2014
219437,The International 2017. China. Open Qualifier #2
182247,WESG 2016. Ukrainian Qualifiers
169370,TI6. Europe. Open Qualifiers
85264,The International 2014. Qualifier
205268,The Kiev Major 2017. China. Open Qualifiers #2
82442,ESL One Frankfurt 2014
